agi_bin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
INT2012,1.1512607051,0.231261021612,0.969146634779,0.980802435229,0.957436005044,0.93179727467,0.920491341769,1.00149335866,0.981895948883,0.910891714883,1.03312766901,0.887633161502,0.928435178128,0.96682272499,0.970053252647,1.0198637533,0.943740288214,0.944833289525,1.61818236829
INT2013,1.00216964091,0.778858591086,0.781093875567,0.780830980837,0.900907449885,0.920244504729,0.96455143868,0.928789635532,0.847137763809,0.892807236074,1.0473715871,1.09950665748,1.09162929635,1.04900459415,1.03685088769,0.961786986727,1.00792302255,0.845867334208,1.00123012168
INT2014,0.906040493757,0.897866989167,0.876636363215,0.790757089889,0.843288027705,0.83563796877,0.978491879534,0.861338325224,0.806779759835,0.958960740728,0.800554566715,1.02033174118,1.01835478049,0.94682308196,1.10210682846,1.1569557326,1.07813320509,1.07293895278,1.20777716784
INT2015,0.998597617905,0.97896184444,0.978344496802,0.978715377864,0.97325313765,1.00984865001,0.975086013256,0.975032997322,0.978046248709,0.988344218441,0.989213422618,1.01790473584,1.00703615592,0.992830456146,0.994085122254,0.987782369768,0.9883175234,0.997519664763,1.04279954777
INT2016,0.993601720883,0.976141913481,0.975674530036,0.977086150966,0.97906849318,0.978684270588,0.973547869153,0.977727857686,0.998357337419,0.983830569011,0.986480823648,1.00861423056,1.01542291946,0.995798859746,0.986179470833,0.986079482397,0.992793908319,1.01035994431,1.04623529919
INT2017,0.984921253516,0.990664664145,0.975499447834,0.97675620777,0.984869303694,0.977411570367,0.977853731035,0.979203365651,0.981232817602,0.994740350696,0.987108069336,1.01732000549,0.997907123654,0.985886967333,0.985418031325,0.985782184936,0.987092882406,1.02772295276,1.05826431911
INT2018,0.988401138242,0.989715249906,0.974700830109,0.976595623962,0.976893815724,0.975149789752,0.981067105124,0.977574849685,0.982859038163,0.992169861326,0.998009906254,1.00907648503,1.00443083814,0.992907845357,0.98600661147,0.986073201863,0.989066966626,1.0314544415,1.04908194853
INT2019,0.992454377409,0.998956708934,0.977778099672,0.978353436337,0.97433501661,0.980310245239,0.979783514717,0.984787505941,0.984653803457,0.99126372006,1.00820188342,1.0158917313,0.995108284541,0.999827655508,0.986919892637,0.986856676488,0.993603414786,0.999569519572,1.04635743069
INT2020,0.989160835968,0.989644510395,0.978355437463,0.976336955984,0.979346837151,0.97934701228,0.97787762024,0.989598425752,0.98387779517,0.995103436572,1.01309481449,1.00846405341,0.997401637148,0.990371950862,0.998440935337,0.987600918333,0.991785901654,1.01725700453,1.04918251157
INT2021,0.994783091469,0.991362727351,0.982761620581,0.976219253909,0.98681633681,0.978403417386,0.979118826367,0.984063552715,0.985108356211,0.998926769477,0.999047610902,1.01361138058,1.00378991213,0.993674574937,0.988444820149,0.988155387863,0.991186769021,1.0202259365,1.03258871977
INT2022,0.988912706248,0.983430753109,0.974793208898,0.979064697995,0.985717189517,0.975640950838,0.978314707913,0.983257329815,1.00630943893,1.00427328578,1.01893911967,1.00437634841,0.996005856326,0.994045382107,0.988177852068,0.988200977092,0.990884131114,1.0407520362,1.02937951575
INT2023,0.992626850912,1.0072449712,0.975501962685,0.971155730433,0.979452045677,0.979481425812,0.97981189582,0.989164822546,1.00309879243,1.00084673056,1.00078735227,1.00715576352,0.999637432392,0.993573417648,0.988578121374,0.988349071789,1.00004241048,1.01895471086,1.03023588121
INT2024,0.996032856249,1.00273703174,0.981026279713,0.979714484648,0.980996363796,0.98260647809,0.981080723309,0.986708521702,0.991031676897,1.0017145485,1.00491478176,1.00464701537,0.998855202768,0.994080534264,0.993095274099,0.999548568837,0.997065743366,1.01934658869,1.03040191226
INT2025,1.01837622124,1.00031785655,0.971181247262,0.977350544093,0.978309907849,0.979615614755,0.982185114244,0.982861693051,0.989703926786,0.99107780366,0.998185770684,1.0061980401,1.0045255843,1.00594694527,0.990063687625,0.988988192898,0.992412421375,1.01684409317,1.02900284068
INT2026,0.990130694889,0.992946687549,0.972279956041,0.981981670881,0.98928739565,0.982913104366,0.982766400692,0.994320472661,0.9922682495,0.999991279152,0.998042331225,1.00963113703,1.00345253432,1.00984716467,0.9909235679,0.989321744746,0.99167435847,1.01296229787,1.02510137013
INT2027,1.01552069991,0.991031850643,0.971718625331,0.98067660594,0.982176188964,0.982217208229,0.983166350848,0.986199145814,0.99281114299,1.01056925139,1.0011124837,1.00412329744,1.00464890693,0.998499066634,0.991000196201,0.990311087375,0.999773918384,1.0105296963,1.00988914558
